Reference, Value, Footprint, Datasheet
"P1","Digital","Socket_Arduino_Nano:Socket_Strip_Arduino_1x15",""
"P2","Analog","Socket_Arduino_Nano:Socket_Strip_Arduino_1x15",""
"R1","510ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","200ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3","510ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","200ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R6","250ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5","12k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C1","100nf","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C2","470nf","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C3","470nf","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C4","10micron","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C5","10micron","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C7","10micron","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"Ufilter1","LM741","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm741.pdf"
"Upoten1","LM324","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"J1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"IC1","ICL7660","Package_DIP:DIP-8_W7.62mm","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf"
"IC2","ICL7660","Package_DIP:DIP-8_W7.62mm","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf"
"C6","10micron","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"P6","CONN_01X01","Socket_Arduino_Nano:1pin_Nano",""
"P5","CONN_01X01","Socket_Arduino_Nano:1pin_Nano",""
"P4","CONN_01X01","Socket_Arduino_Nano:1pin_Nano",""
"P3","CONN_01X01","Socket_Arduino_Nano:1pin_Nano",""
"J5","Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J2","Conn_01x02_Female","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"JP1","Jumper","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
